CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,COMPONENTE,H15,REGION,MAS_500,AGLOMERADO,PONDERA,CH03,CH04,CH05,CH06,CH07,CH08,CH09,CH10,CH11,CH12,CH13,CH14,CH15,CH15_COD,CH16,CH16_COD,NIVEL_ED,ESTADO,CAT_OCUP,CAT_INAC,IMPUTA,PP02C1,PP02C2,PP02C3,PP02C4,PP02C5,PP02C6,PP02C7,PP02C8,PP02E,PP02H,PP02I,PP03C,PP03D,PP3E_TOT,PP3F_TOT,PP03G,PP03H,PP03I,PP03J,INTENSI,PP04A,PP04B_COD,PP04B1,PP04B2,PP04B3_MES,PP04B3_ANO,PP04B3_DIA,PP04C,PP04C99,PP04D_COD,PP04G,PP05B2_MES,PP05B2_ANO,PP05B2_DIA,PP05C_1,PP05C_2,PP05C_3,PP05E,PP05F,PP05H,PP06A,PP06C,PP06D,PP06E,PP06H,PP07A,PP07C,PP07D,PP07E,PP07F1,PP07F2,PP07F3,PP07F4,PP07F5,PP07G1,PP07G2,PP07G3,PP07G4,PP07G_59,PP07H,PP07I,PP07J,PP07K,PP08D1,PP08D4,PP08F1,PP08F2,PP08J1,PP08J2,PP08J3,PP09A,PP09A_ESP,PP09B,PP09C,PP09C_ESP,PP10A,PP10C,PP10D,PP10E,PP11A,PP11B_COD,PP11B1,PP11B2_MES,PP11B2_ANO,PP11B2_DIA,PP11C,PP11C99,PP11D_COD,PP11G_ANO,PP11G_MES,PP11G_DIA,PP11L,PP11L1,PP11M,PP11N,PP11O,PP11P,PP11Q,PP11R,PP11S,PP11T,P21,DECOCUR,IDECOCUR,RDECOCUR,GDECOCUR,PDECOCUR,ADECOCUR,PONDIIO,TOT_P12,P47T,DECINDR,IDECINDR,RDECINDR,GDECINDR,PDECINDR,ADECINDR,PONDII,V3_M,V4_M,V8_M,V9_M,V10_M,V12_M,V18_M,V19_AM,T_VI,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,V2_02_M,V2_03_M,V5_03_M,V11_02_M,PP07B1_01,EMPLEO,SECTOR,PP02A,PP02B,PP02D,PP02F,PP02G,PP03K,PP04A1,PP05B3,PP05I,PP05J,PP05K,PP06E1,PP06K,PP06K_SEM,PP06K_MES,PP06L,PP07F1_1,PP07F1_2,PP07F1_3,PP07I2,PP07I3,PP07I4,PP07L,PP07M,PP08G,PP08G_DSEM,PP08G_DMES,PP08H,PP10B1,PP10B2,PP10B3,PP10B4,PP10B5,PP10B6,PP10B7,PP10B8,PP10B9,PP10B10,PP11L2,V2_01_M,V5_01_M,V5_02_M,V11_01_M,V21_01_M,V21_02_M,V21_03_M,V22_01_M,V22_02_M,V22_03_M,P_DECCF,P_RDECCF,P_GDECCF,P_PDECCF,P_IDECCF,P_ADECCF,PESO,EDAD_SQ,P21_IMPUTADO
TQRMNOQVWHLKLOCDEIIAD00854956,2024,4,1,4,1,1,S,32,1867,10,1,1,23,1,1,1,2,0,4,1,,1,,1,,4,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,40.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,8401.0,2.0,0.0,0.0,0.0,0.0,99.0,3.0,48333.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,12,,12,12.0,,12,0,0.0,-9.0,12,,12,12.0,,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12,,12,12.0,,12,0.0,12,,12,12.0,,12,0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,8.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,,,,,0,529,643510.0582764101
TQRMNOUPYHMNKOCDEIIAD00870243,2024,4,1,1,1,1,S,32,2795,1,1,1,60,4,1,1,2,0,7,2,2.0,5,226.0,1,,5,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,35.0,24.0,2.0,0.0,2.0,2.0,3.0,2.0,4903.0,2.0,0.0,0.0,0.0,0.0,99.0,3.0,34323.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,3.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,12,,12,12.0,,12,0,-9.0,-9.0,12,,12,12.0,,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12,,12,12.0,,12,0.0,12,,12,12.0,,12,0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,9.0,9.0,9.0,0.0,0.0,1.0,5.0,0.0,7.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,,,,,0,3600,884668.689372554
TQRMNOUPYHMNKOCDEIIAD00870243,2024,4,1,2,1,1,S,32,2795,3,2,1,30,5,1,1,2,0,7,2,1.0,5,226.0,1,,5,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,74.0,0.0,2.0,0.0,2.0,2.0,3.0,2.0,4903.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,34323.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,3.0,3.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,12,,12,12.0,,12,0,0.0,-9.0,12,,12,12.0,,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12,,12,12.0,,12,0.0,12,,12,12.0,,12,0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,9.0,9.0,9.0,0.0,0.0,1.0,7.0,0.0,10.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,,,,,0,900,1005427.4726703494
TQRMNOUPYHMNKOCDEIIAD00870243,2024,4,1,3,1,1,S,32,2795,3,1,1,28,5,1,1,2,0,7,2,3.0,5,226.0,1,,5,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,30.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,6200.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,81331.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,12,,12,12.0,,12,0,0.0,-9.0,12,,12,12.0,,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12,,12,12.0,,12,0.0,12,,12,12.0,,12,0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,6.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,,,,,0,784,830744.731304382
TQRMNOPPWHLOKRCDEGJBF00852879,2024,4,1,3,1,43,S,13,733,3,2,1,25,5,1,1,2,0,5,1,,1,,1,,4,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,8101.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,56314.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,12,12.0,12,12.0,,12,0,0.0,-9.0,12,12.0,12,12.0,,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12,12.0,12,12.0,,12,0.0,12,12.0,12,12.0,,12,0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,0.0,8.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,,,,,0,625,427471.0098351096
TQRMNOQSUHMNKQCDEGJBF00810071,2024,4,1,2,1,43,S,13,767,2,1,27901,48,1,4,2,2,0,2,2,1.0,1,,1,,1,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,1.0,2.0,3.0,4000.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,72313.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0,0.0,,0,767,200000.0,200000.0,2,2.0,2,2.0,,2,846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,427338.0,2,2.0,2,2.0,,2,106834.5,1,1.0,1,1.0,,1,757,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,8.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,,1.0,1.0,767,2304,340604.632963267
TQRMNOQYRHLNNTCDEIIAD00860428,2024,4,1,1,1,1,S,32,1700,1,1,23322,60,1,1,1,2,0,4,1,,1,,1,,4,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,6800.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,30332.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,12,,12,12.0,,12,0,0.0,-9.0,12,,12,12.0,,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12,,12,12.0,,12,0.0,12,,12,12.0,,12,0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,8.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,,,,,0,3600,917837.2327357371
TQRMNORQYHLOOOCDEIIAD00860477,2024,4,1,4,1,1,S,32,1323,3,2,37144,23,5,2,1,2,0,7,1,,1,,1,,6,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,5202.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,42331.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,12,,12,12.0,,12,0,0.0,-9.0,12,,12,12.0,,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12,,12,12.0,,12,0.0,12,,12,12.0,,12,0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,8.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,,,,,0,529,928126.9898610889
TQRMNOPYWHLMNRCDEIIAD00854897,2024,4,1,2,1,1,S,32,828,2,2,31005,39,1,1,1,2,0,2,1,,4,221.0,1,,2,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,39.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,9700.0,1.0,1.0,0.0,15.0,0.0,0.0,0.0,55314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,12,,12,12.0,,12,0,0.0,-9.0,12,,12,12.0,,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12,,12,12.0,,12,0.0,12,,12,12.0,,12,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,8.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,,,,,0,1521,528030.9789354997
TQRMNORURHKOMRCDEIIAD00872518,2024,4,1,3,1,1,S,32,1726,3,2,35993,26,5,4,1,2,0,4,1,,3,90.0,1,,4,1,3,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,16.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,9700.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,55314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,12,,12,12.0,,12,0,0.0,-9.0,12,,12,12.0,,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12,,12,12.0,,12,0.0,12,,12,12.0,,12,0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,8.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,,,,,0,676,241007.1524664807
